2321	8	3712
2144	0	554
1101	2	2600
2532	0	1243
231	0	3755
709	2	2653
4052	9	1632
1716	3	438
3397	2	3263
3886	2	1067
2012	0	3133
2485	9	2802
786	9	1415
1952	3	400
1625	0	1841
915	0	716
1576	3	1760
2370	0	2179
119	0	72
2575	0	591
3456	2	3439
3569	9	2092
364	3	2861
1658	1	1317
1508	0	1839
1818	1	2254
2486	9	1902
2898	0	2096
1454	0	2565
1411	2	2653
554	0	3333
3153	2	4024
641	3	3698
2032	2	4134
2704	10	143
225	2	329
2468	3	2163
3803	2	3109
3392	2	3012
3471	0	3267
2419	10	3466
3544	2	2514
1492	2	1634
1852	0	651
128	5	80
3902	2	2079
1931	2	1688
2642	5	4235
2674	6	1792
2085	3	1521
2279	3	400
3624	2	2577
3789	2	230
1548	8	1695
1800	2	2976
1621	5	1385
2690	3	3297
2050	5	1172
3333	2	445
4227	2	3061
3924	2	474
458	0	2092
1193	2	234
810	0	1705
650	0	2793
3885	1	1641
2422	3	1324
2798	1	612
165	2	377
2341	3	3795
2382	3	1521
2072	0	4019
3318	2	2760
3103	10	4077
2400	0	4091
2026	1	1423
812	0	2907
547	5	3378
517	0	1451
84	3	1691
2241	8	1865
1865	6	3403
1059	2	9
885	3	514
2378	0	4159
2642	5	363
3199	2	2566
3725	1	2236
2017	1	3617
545	9	102
2711	0	2790
1330	0	2828
2026	0	2565
2537	5	2403
503	2	523
2741	8	695
2336	5	3225
1399	2	445
2835	10	2626
1571	6	3003
1640	9	514
1928	2	3627
2808	2	124
1569	0	4091
103	0	241
2350	8	3496
1691	2	127
1027	3	3040
4232	0	2480
4188	2	746
3874	2	4117
2713	9	3068
1759	2	2963
3658	0	3115
2329	0	1471
1042	10	1474
2164	1	2783
1417	2	2023
2499	9	125
423	2	2186
4166	10	4028
1570	0	1902
466	1	4246
1277	3	3939
2644	8	1860
2360	8	1162
2486	10	1431
1713	0	2934
3908	2	1270
2359	0	1243
387	0	1149
1891	3	3000
682	0	3333
2421	3	1192
209	9	1669
2159	9	3129
2757	0	266
2722	1	399
1921	2	301
2366	2	3183
2266	3	1902
238	0	115
3462	2	2305
1449	2	1884
620	2	4225
1043	8	3712
4069	0	1863
382	1	2010
2615	10	3554
2856	5	3378
786	0	3438
4062	10	573
183	5	1244
3986	0	1324
894	1	1877
2498	10	3488
662	1	3573
2393	8	3491
2890	9	3645
3183	2	1754
2541	9	1250
2710	10	3526
3506	2	3265
3922	2	4134
2749	0	2774
941	0	2796
1044	2	1805
2544	9	1546
3667	0	1464
1380	2	1756
395	0	2572
1401	2	1763
2127	0	744
2627	5	4157
1419	2	1842
4246	6	1557
819	0	1384
2691	10	3526
1577	3	3249
659	0	1863
641	5	1264
164	2	513
789	10	2002
635	6	4092
147	2	4042
1808	0	3693
458	2	3109
1823	0	2185
2640	0	3350
3832	2	3627
2699	0	3039
1128	9	2909
3011	3	1254
212	5	167
871	2	3340
1181	0	1092
2765	0	1281
2282	0	3059
1907	2	1247
3667	0	3234
306	6	1174
2182	10	3757
859	0	3394
1341	8	3823
1527	5	498
1367	2	2510
3448	2	1274
2201	10	4109
3929	2	1842
1417	2	1023
3278	2	3257
3569	3	2912
915	0	3114
1960	3	629
3908	2	2044
2868	0	2114
2589	0	102
2422	9	386
641	2	1538
2946	2	1289
1510	2	2600
3898	2	504
1686	3	1464
654	3	2996
967	3	4001
3845	2	1185
3857	2	1842
2915	5	633
2517	1	545
3108	0	2062
4041	8	1671
738	0	1487
2199	10	988
3411	8	1860
554	2	3998
2624	10	3251
803	2	2826
3494	2	1755
734	2	686
3428	9	4082
1305	2	2760
3168	6	3444
2642	3	377
3585	2	2932
727	8	1767
2283	3	2784
